Week,Taylor Swift: (United States),Kim Kardashian: (United States)
2020-12-06,46,15
2020-12-13,44,14
2020-12-20,26,14
2020-12-27,23,13
2021-01-03,18,74
2021-01-10,17,24
2021-01-17,15,17
2021-01-24,16,15
2021-01-31,14,16
2021-02-07,27,16
2021-02-14,21,29
2021-02-21,16,29
2021-02-28,19,18
2021-03-07,16,16
2021-03-14,36,22
2021-03-21,20,17
2021-03-28,17,17
2021-04-04,32,22
2021-04-11,26,17
2021-04-18,18,18
2021-04-25,16,19
2021-05-02,16,17
2021-05-09,17,14
2021-05-16,14,15
2021-05-23,14,19
2021-05-30,14,20
2021-06-06,14,23
2021-06-13,16,22
2021-06-20,17,18
2021-06-27,15,16
2021-07-04,16,16
2021-07-11,15,15
2021-07-18,14,15
2021-07-25,14,13
2021-08-01,18,13
2021-08-08,15,13
2021-08-15,14,14
2021-08-22,16,17
2021-08-29,13,18
2021-09-05,13,14
2021-09-12,16,44
2021-09-19,17,17
2021-09-26,15,14
2021-10-03,12,12
2021-10-10,14,30
2021-10-17,13,18
2021-10-24,15,13
2021-10-31,18,35
2021-11-07,80,22
2021-11-14,100,37
2021-11-21,37,37
2021-11-28,28,28
