Time,Taylor Swift: (United States),Kim Kardashian: (United States)
2021-11-24T20,51,49
2021-11-24T21,51,53
2021-11-24T22,52,53
2021-11-24T23,51,53
2021-11-25T00,51,60
2021-11-25T01,49,57
2021-11-25T02,35,54
2021-11-25T03,32,53
2021-11-25T04,23,42
2021-11-25T05,21,35
2021-11-25T06,22,32
2021-11-25T07,27,32
2021-11-25T08,30,31
2021-11-25T09,31,30
2021-11-25T10,33,30
2021-11-25T11,33,30
2021-11-25T12,32,29
2021-11-25T13,34,34
2021-11-25T14,35,35
2021-11-25T15,34,36
2021-11-25T16,34,35
2021-11-25T17,37,37
2021-11-25T18,39,35
2021-11-25T19,39,34
2021-11-25T20,45,37
2021-11-25T21,50,42
2021-11-25T22,46,44
2021-11-25T23,47,49
2021-11-26T00,45,49
2021-11-26T01,39,48
2021-11-26T02,34,47
2021-11-26T03,29,41
2021-11-26T04,18,30
2021-11-26T05,19,30
2021-11-26T06,22,30
2021-11-26T07,23,27
2021-11-26T08,25,27
2021-11-26T09,28,29
2021-11-26T10,30,31
2021-11-26T11,30,36
2021-11-26T12,31,32
2021-11-26T13,32,32
2021-11-26T14,32,34
2021-11-26T15,32,37
2021-11-26T16,31,37
2021-11-26T17,35,37
2021-11-26T18,34,39
2021-11-26T19,37,40
2021-11-26T20,42,44
2021-11-26T21,41,46
2021-11-26T22,53,48
2021-11-26T23,87,51
2021-11-27T00,51,57
2021-11-27T01,42,58
2021-11-27T02,47,59
2021-11-27T03,34,52
2021-11-27T04,21,42
2021-11-27T05,19,32
2021-11-27T06,22,34
2021-11-27T07,24,33
2021-11-27T08,26,33
2021-11-27T09,30,31
2021-11-27T10,31,33
2021-11-27T11,30,32
2021-11-27T12,30,34
2021-11-27T13,31,32
2021-11-27T14,30,32
2021-11-27T15,31,31
2021-11-27T16,32,31
2021-11-27T17,34,32
2021-11-27T18,35,31
2021-11-27T19,41,35
2021-11-27T20,42,36
2021-11-27T21,45,41
2021-11-27T22,49,95
2021-11-27T23,50,100
2021-11-28T00,51,66
2021-11-28T01,47,69
2021-11-28T02,41,65
2021-11-28T03,33,49
2021-11-28T04,23,35
2021-11-28T05,22,37
2021-11-28T06,23,33
2021-11-28T07,27,33
2021-11-28T08,27,31
2021-11-28T09,30,29
2021-11-28T10,32,29
2021-11-28T11,32,28
2021-11-28T12,36,28
2021-11-28T13,34,29
2021-11-28T14,32,29
2021-11-28T15,31,27
2021-11-28T16,31,27
2021-11-28T17,31,29
2021-11-28T18,32,28
2021-11-28T19,38,30
2021-11-28T20,37,31
2021-11-28T21,39,33
2021-11-28T22,40,37
2021-11-28T23,41,41
2021-11-29T00,42,42
2021-11-29T01,32,36
2021-11-29T02,32,40
2021-11-29T03,26,34
2021-11-29T04,18,24
2021-11-29T05,20,28
2021-11-29T06,23,27
2021-11-29T07,20,21
2021-11-29T08,19,19
2021-11-29T09,19,19
2021-11-29T10,21,19
2021-11-29T11,21,19
2021-11-29T12,22,19
2021-11-29T13,22,19
2021-11-29T14,23,22
2021-11-29T15,24,22
2021-11-29T16,24,22
2021-11-29T17,26,23
2021-11-29T18,27,26
2021-11-29T19,29,24
2021-11-29T20,33,29
2021-11-29T21,35,32
2021-11-29T22,37,33
2021-11-29T23,39,36
2021-11-30T00,38,40
2021-11-30T01,30,35
2021-11-30T02,28,38
2021-11-30T03,20,29
2021-11-30T04,14,24
2021-11-30T05,18,25
2021-11-30T06,19,24
2021-11-30T07,19,19
2021-11-30T08,19,17
2021-11-30T09,20,18
2021-11-30T10,19,16
2021-11-30T11,19,17
2021-11-30T12,20,17
2021-11-30T13,21,18
2021-11-30T14,21,19
2021-11-30T15,23,20
2021-11-30T16,25,20
2021-11-30T17,26,22
2021-11-30T18,27,25
2021-11-30T19,29,26
2021-11-30T20,32,29
2021-11-30T21,30,28
2021-11-30T22,32,31
2021-11-30T23,34,33
2021-12-01T00,32,36
2021-12-01T01,27,30
2021-12-01T02,22,37
2021-12-01T03,15,21
2021-12-01T04,11,19
2021-12-01T05,13,19
2021-12-01T06,15,20
2021-12-01T07,15,18
2021-12-01T08,16,16
2021-12-01T09,17,16
2021-12-01T10,19,14
2021-12-01T11,20,14
2021-12-01T12,19,15
2021-12-01T13,20,15
2021-12-01T14,20,15
2021-12-01T15,21,16
2021-12-01T16,23,16
2021-12-01T17,23,18
2021-12-01T18,28,19
2021-12-01T19,28,21
